,pos,url,crawl_day
89,62,https://www.eldebate.com/religion/iglesia/20221003/nueva-vocacion_63667.html#disqus_thread_box,2022-10-03
90,34,https://www.eldebate.com/espana/20221003/dimision-ospina-candidato-presidir-icam-eleva-tres-vacantes-directiva-actual_63671.html#disqus_thread_box,2022-10-03
91,35,https://www.eldebate.com/economia/20221003/rey-ensalza-empresa-familiar-congreso-caceres_63707.html#disqus_thread_box,2022-10-03
92,38,https://www.eldebate.com/espana/20221003/directo-vicesecretario-economia-pp-juan-bravo-directo_63647.html#disqus_thread_box,2022-10-03
93,39,https://www.eldebate.com/espana/20221003/directo-jorge-buxade-patricia-rueda-directo_63648.html#disqus_thread_box,2022-10-03
94,0,https://www.eldebate.com/espana/20221003/consejo-revilla-barones-socialistas-no-ligar-destino-sanchez-super-domingo-electoral_63779.html,2022-10-03
95,4,https://www.eldebate.com/internacional/20221003/cdf_63694.html#disqus_thread_box,2022-10-03
96,5,https://www.eldebate.com/internacional/20221003/g_63673.html#disqus_thread_box,2022-10-03
97,7,https://www.eldebate.com/espana/20221003/lesmes-encara-semana-clave-informe-contradice-plan-previsto-dimision-cgpj_63643.html#disqus_thread_box,2022-10-03
98,9,https://www.eldebate.com/economia/20221003/feijoo-dicen-deuda-progresista-menos-progresista-vivir-cuenta-otros_63774.html#disqus_thread_box,2022-10-03
99,12,https://www.eldebate.com/espana/20221003/malestar-presiones-consulados-difundir-video-promocional-bolanos-sobre-voto-exterior_63722.html#disqus_thread_box,2022-10-03
100,33,https://www.eldebate.com/economia/20221003/gobierno-abonara-funcionarios-paga-extra-500-euros-antes-final-ano_63749.html#disqus_thread_box,2022-10-03
101,34,https://www.eldebate.com/educacion/20221003/25-jovenes-25-29-espana-son-ninis_63742.html#disqus_thread_box,2022-10-03
102,39,https://www.eldebate.com/economia/20221003/comunidades-pp-prometen-defensa-hasta-final-competencia_63756.html#disqus_thread_box,2022-10-03
103,48,https://www.eldebate.com/cultura/musica/20221003/hallan-dos-fotografias-ineditas-de-los-beatles-tomadas-durante-un-concierto-en-the-cavern_63721.html#disqus_thread_box,2022-10-03
104,49,https://www.eldebate.com/gente/20221003/maria-leon-niega-agresion-agente-denuncia-abuso-policial_63743.html#disqus_thread_box,2022-10-03
105,51,https://www.eldebate.com/economia/20221003/ee-uu-multa-kim-kardashian-promocionar-criptoactivo-instagram_63782.html#disqus_thread_box,2022-10-03
106,52,https://www.eldebate.com/deportes/futbol/20221003/que-paso-partido-futbol-indonesia-ocurriera-segunda-mayor-tragedia-historia_63696.html#disqus_thread_box,2022-10-03
107,55,https://www.eldebate.com/salud-y-bienestar/expertos/20221003/hormona-juventud-curiosidades-doctor-abascal_63729.html#disqus_thread_box,2022-10-03
108,59,https://www.eldebate.com/sociedad/sociedad-medio-ambiente/20221003/hombre-muere-embestido-ciervo-navarra_63770.html#disqus_thread_box,2022-10-03
109,60,https://www.eldebate.com/espana/20221003/planes-gobierno-no-frena-incremento-delitos-odio_63771.html#disqus_thread_box,2022-10-03
110,8,https://www.eldebate.com/economia/20221003/gobierno-recortara-prevision-crecimiento-pib-2-1-2023_63794.html#disqus_thread_box,2022-10-03
111,9,https://www.eldebate.com/espana/20221003/vox-remarca-importancia-discurso-felipe-vi-1-0-rey-asumio-funcion-constitucional-extraordinaria_63781.html#disqus_thread_box,2022-10-03
112,39,https://www.eldebate.com/internacional/20221003/orden-busca-captura-periodista-rusa-irrumpio-noticiero-mayor-audiencia-tv_63811.html#disqus_thread_box,2022-10-03
113,45,https://www.eldebate.com/gente/20221003/la-obsesion-de-meghan-markle-con-un-miembro-de-la-familia-real-britanica_63793.html#disqus_thread_box,2022-10-03
114,48,https://www.eldebate.com/sociedad/20221003/alerta-sanitaria-detectan-listeria-lote-morcilla_63796.html#disqus_thread_box,2022-10-03
115,50,https://www.eldebate.com/deportes/futbol/la-liga/20221003/benzema-atasca-punto-penalti_63708.html#disqus_thread_box,2022-10-03
116,51,https://www.eldebate.com/motor/20221003/conoce-seis-cambios-coche-te-obligan-volver-pasar-itv-cns_63762.html#disqus_thread_box,2022-10-03
117,52,https://www.eldebate.com/deportes/futbol/20221003/frase-jugadora-seleccion-espanola-sentencia-vilda_63752.html#disqus_thread_box,2022-10-03
118,60,https://www.eldebate.com/espana/20221003/vox-revisara-concesion-televisiva-sexta-cuando-llegue-gobierno_63816.html#disqus_thread_box,2022-10-03
119,0,https://www.eldebate.com/espana/20221003/psoe-planea-campana-agitacion-preelectoral-frenar-subida-feijoo_63821.html,2022-10-03
120,8,https://www.eldebate.com/internacional/20221003/justicia-francesa-imputa-jefe-gabinete-macron-delitos-financieros_63847.html#disqus_thread_box,2022-10-03
121,10,https://www.eldebate.com/espana/20221003/feijoo-advierte-peligro-mensaje-antiguo-ricos-pobres_63861.html#disqus_thread_box,2022-10-03
122,36,https://www.eldebate.com/religion/iglesia/20221003/caritas-recuerda-hay-anteponer-dignidad-personas-dos-anos-luz-canada-real_63853.html#disqus_thread_box,2022-10-03
123,37,https://www.eldebate.com/espana/20221003/no-saben-no-contestan-cupula-eta-niega-explicar-como-planifico-asesinato-pequena-silvia_63715.html#disqus_thread_box,2022-10-03
124,40,https://www.eldebate.com/gente/20220910/jesus-quintero-periodista-sonaba-actor-llego-mas-alto-haciendo-historia-television_59099.html,2022-10-03
125,41,https://www.eldebate.com/cultura/20221003/perez-reverte-cual-mi-ideologia-depende-pie-me-pisen_63815.html#disqus_thread_box,2022-10-03
126,42,https://www.eldebate.com/cine-tv-series/20221003/eduard-fernandez-desvela-tv3-censuro-critica-independencia-cataluna-bien_63842.html#disqus_thread_box,2022-10-03
127,45,https://www.eldebate.com/internacional/20221003/carlos-iii-elige-escocia-busca-otro-referendum-separatista-primera-aparicion-publica-como-rey_63817.html#disqus_thread_box,2022-10-03
128,58,https://www.eldebate.com/religion/20221003/lanzan-lejia-virgen-rosario-jaen-durante-procesion_63826.html#disqus_thread_box,2022-10-03
129,59,https://www.eldebate.com/espana/madrid/20221003/atropella-mujer-esperaba-cruzar-paso-peatones-da-fuga_63838.html#disqus_thread_box,2022-10-03
130,6,https://www.eldebate.com/espana/20221003/ayuso-elige-terol-como-candidato-alcorcon-pesar-haber-sido-hombres-fuertes-casado_63878.html#disqus_thread_box,2022-10-03
131,7,https://www.eldebate.com/podcast/20221003/expandillero-narra-debate-horrores-bandas-latinas-no-cumples-te-dan-palazos_63868.html#disqus_thread_box,2022-10-03
132,8,https://www.eldebate.com/espana/cataluna/20221003/junts-preguntara-bases-quieren-partido-siga-formando-parte-govern_63795.html#disqus_thread_box,2022-10-03
133,13,https://www.eldebate.com/ciencia/20221003/mision-dart-cumplio-objetivo-confirman-probable-desviacion-asteroide-impactado_63863.html#disqus_thread_box,2022-10-03
134,16,https://www.eldebate.com/sociedad/20221003/detectado-guadalajara-primer-caso-gripe-aviar-humanos-espana_63875.html#disqus_thread_box,2022-10-03
135,38,https://www.eldebate.com/religion/iglesia/20221003/mueller-teoria-genero-transhumanismo-son-frutos-prohibidos-nihilismo_63704.html#disqus_thread_box,2022-10-03
136,40,https://www.eldebate.com/cine-tv-series/20221003/muere-presentador-jesus-quintero_63855.html#disqus_thread_box,2022-10-03
137,41,https://www.eldebate.com/obituarios/20221003/loco-cuerdo_63869.html,2022-10-03
138,42,https://www.eldebate.com/gente/20220910/jesus-quintero-periodista-sonaba-actor-llego-mas-alto-haciendo-historia-television_59099.html#disqus_thread_box,2022-10-03
139,46,https://www.eldebate.com/internacional/20221003/vete-mierda-asi-responde-diplomatico-ucraniano-elon-musk-sobre-soluciones-guerra_63881.html#disqus_thread_box,2022-10-03
